"state_name","species_code","common_name","scientific_name","trend_period","season_code","state_trend_median","state_trend_lowerci","state_trend_upperci","rangewide_trend_median","rangewide_trend_lowerci","rangewide_trend_upperci","breeding_habitat_primary","breeding_habitat_secondary"
"Massachusetts","brnthr","Brown Thrasher","Toxostoma rufum","2012-2022","breeding",-5.71,-13.2,1.86,-10,-13.7,-7.52,"Forests:  Temperate Eastern",NA
"Massachusetts","brwhaw","Broad-winged Hawk","Buteo platypterus","2012-2022","breeding",31.8,14.8,43,24.3,16.7,34,"Forests:  Boreal","Forests:  Temperate Eastern"
"Massachusetts","btbwar","Black-throated Blue Warbler","Setophaga caerulescens","2012-2022","breeding",-19,-25.3,-14.8,-13.7,-19.7,-9.16,"Forests:  Boreal","Forests:  Temperate Eastern"
"Massachusetts","btnwar","Black-throated Green Warbler","Setophaga virens","2012-2022","breeding",-23.7,-26.1,-20.2,-17.3,-19.6,-14.2,"Forests:  Boreal","Forests:  Temperate Eastern"
"Massachusetts","buffle","Bufflehead","Bucephala albeola","2012-2022","nonbreeding",-14.7,-20.2,-9.28,-8.4,-10.8,-6.53,"Wetlands:  Forested","Wetlands:  Lakes and Rivers"
"Massachusetts","buggna","Blue-gray Gnatcatcher","Polioptila caerulea","2012-2022","breeding",-20.7,-36.4,-2.24,2.53,-1.27,7.66,"Forests:  Generalist",NA
"Massachusetts","buhvir","Blue-headed Vireo","Vireo solitarius","2012-2022","breeding",25.8,20.2,31.1,13.8,9.69,18.3,"Forests:  Boreal","Forests:  Temperate Eastern"
"Massachusetts","buwtea","Blue-winged Teal","Spatula discors","2012-2022","breeding",-14.3,-43.1,3.45,-7.96,-12.6,-3.46,"Wetlands:  Seasonally Wet Grasslands","Wetlands:  Freshwater Marsh"
"Massachusetts","buwwar","Blue-winged Warbler","Vermivora cyanoptera","2012-2022","breeding",-39.1,-52.5,-29.6,-14.9,-18.1,-11.5,"Forests:  Temperate Eastern",NA
"Massachusetts","cacgoo1","Cackling Goose","Branta hutchinsii","2012-2022","nonbreeding",-15.6,-22.7,-7.32,16.3,9.83,28.6,"Wetlands:  Tundra","Coasts:  Tundra"
"Massachusetts","cangoo","Canada Goose","Branta canadensis","2012-2022","breeding",2.96,-3.32,10.5,-1.52,-6.38,2.14,"Wetlands:  Generalist",NA
"Massachusetts","canvas","Canvasback","Aythya valisineria","2012-2022","nonbreeding",-25.6,-35,-8.42,-26.7,-31.6,-21.2,"Wetlands:  Seasonally Wet Grasslands","Wetlands:  Freshwater Marsh"
"Massachusetts","canwar","Canada Warbler","Cardellina canadensis","2012-2022","breeding",-27.9,-29.4,-18.7,-2.25,-6.91,1.87,"Forests:  Boreal","Forests:  Temperate Eastern"
"Massachusetts","carwre","Carolina Wren","Thryothorus ludovicianus","2012-2022","year_round",94,72.4,107,15.5,13,17.8,"Forests:  Temperate Eastern",NA
"Massachusetts","cedwax","Cedar Waxwing","Bombycilla cedrorum","2012-2022","breeding",-26,-29.3,-22.7,-11.7,-14.9,-9.12,"Forests:  Temperate Generalist",NA
"Massachusetts","cerwar","Cerulean Warbler","Setophaga cerulea","2012-2022","breeding",-37,-41.8,-24.5,-8.38,-12.6,-2.85,"Forests:  Temperate Eastern",NA
"Massachusetts","chispa","Chipping Sparrow","Spizella passerina","2012-2022","breeding",-9.35,-12.8,-5.78,-14.6,-17,-13.2,"Forests:  Temperate Generalist",NA
"Massachusetts","chiswi","Chimney Swift","Chaetura pelagica","2012-2022","breeding",-5.49,-10.5,-0.721,-13.7,-15.9,-12,"Open Country Aerial:  Developed/Disturbed","Open Country Aerial:  Habitat Mosaic"
"Massachusetts","chswar","Chestnut-sided Warbler","Setophaga pensylvanica","2012-2022","breeding",-15.7,-18.2,-11.7,-2.55,-5.17,-0.363,"Forests:  Boreal","Forests:  Temperate Eastern"
"Massachusetts","chwwid","Chuck-will's-widow","Antrostomus carolinensis","2012-2022","breeding",-33.1,-45.2,-9.6,-23,-26,-20,"Forests:  Temperate Eastern",NA
"Massachusetts","clarai11","Clapper Rail","Rallus crepitans","2012-2022","breeding",28.2,-0.723,73,21.4,17.1,25.4,"Coasts:  Saltmarsh",NA
"Massachusetts","clcspa","Clay-colored Sparrow","Spizella pallida","2012-2022","breeding",-28.2,-46.6,-9.7,-1.09,-4.45,2.07,"Grasslands:  Temperate","Open Country:  Habitat Mosaic"
"Massachusetts","cliswa","Cliff Swallow","Petrochelidon pyrrhonota","2012-2022","breeding",-39.9,-53.7,-21.4,-15.6,-18.4,-12.1,"Open Country Aerial:  Habitat Mosaic",NA
"Massachusetts","comeid","Common Eider","Somateria mollissima","2012-2022","nonbreeding",-27,-31.2,-18.2,-5.02,-9.94,1.26,"Coasts:  Cliffs and Islands","Coasts:  Marine Waters"
"Massachusetts","comgal1","Common Gallinule","Gallinula galeata","2012-2022","breeding",-18.7,-38.7,6.43,10.7,7.04,14.5,"Wetlands:  Freshwater Marsh",NA
"Massachusetts","comgol","Common Goldeneye","Bucephala clangula","2012-2022","nonbreeding",-26.3,-30.9,-20.9,-12.9,-23,-2.35,"Wetlands:  Forested","Wetlands:  Lakes and Rivers"
"Massachusetts","comgra","Common Grackle","Quiscalus quiscula","2012-2022","breeding",-17.1,-22,-11.6,-9.48,-13,-5.86,"Open Country:  Habitat Mosaic",NA
"Massachusetts","comloo","Common Loon","Gavia immer","2012-2022","nonbreeding",-19.4,-27.3,-12.7,-17,-21.7,-13,"Wetlands:  Lakes and Rivers",NA
"Massachusetts","commer","Common Merganser","Mergus merganser","2012-2022","nonbreeding",-16,-23.4,-7.45,-17.6,-23.4,-12.5,"Wetlands:  Forested","Wetlands:  Lakes and Rivers"
"Massachusetts","comnig","Common Nighthawk","Chordeiles minor","2012-2022","breeding",-40.1,-51.5,-10.3,-0.782,-4.92,4.56,"Open Country Aerial:  Habitat Mosaic",NA
"Massachusetts","comrav","Common Raven","Corvus corax","2012-2022","year_round",67,49.4,92,4.79,-0.381,9.87,"Open Country:  Habitat Mosaic",NA
"Massachusetts","comred","Common Redpoll","Acanthis flammea","2012-2022","nonbreeding",-47.2,-54,-40.8,-33.6,-37.3,-28.6,"Tundra:  Arctic","Forests:  Boreal"
"Massachusetts","comyel","Common Yellowthroat","Geothlypis trichas","2012-2022","breeding",-17.3,-20.8,-13.4,-4.18,-6.81,-2.44,"Open Country:  Habitat Mosaic","Wetlands:  Freshwater Marsh"
"Massachusetts","coohaw","Cooper's Hawk","Accipiter cooperii","2012-2022","breeding",5.5,-1.59,30.4,-2.88,-11.4,5.64,"Forests:  Temperate Generalist",NA
"Massachusetts","daejun","Dark-eyed Junco","Junco hyemalis","2012-2022","breeding",-12.4,-20.8,-2.62,-16.7,-19.5,-14.4,"Forests:  Temperate Generalist",NA
"Massachusetts","doccor","Double-crested Cormorant","Nannopterum auritum","2012-2022","breeding",-7.3,-10.8,-2.92,-9.9,-12.9,-6.79,"Wetlands:  Generalist","Coasts:  Beach and Estuary"
"Massachusetts","dowwoo","Downy Woodpecker","Dryobates pubescens","2012-2022","year_round",5.39,-1.46,10.6,17.6,16,20.3,"Forests:  Temperate Generalist",NA
"Massachusetts","dunlin","Dunlin","Calidris alpina","2012-2022","nonbreeding",-15.6,-26.8,-2.48,-32,-36.4,-24.2,"Wetlands:  Tundra","Coasts:  Tundra"
"Massachusetts","easblu","Eastern Bluebird","Sialia sialis","2012-2022","breeding",70,47.3,90.3,-22.1,-25.3,-20.2,"Forests:  Temperate Eastern","Forests:  Mesoamerican Pine-Oak"
"Massachusetts","easkin","Eastern Kingbird","Tyrannus tyrannus","2012-2022","breeding",-13.5,-21.8,-7.53,4.93,2.57,7.99,"Open Country:  Habitat Mosaic","Grasslands:  Temperate"
"Massachusetts","easmea","Eastern Meadowlark","Sturnella magna","2012-2022","breeding",-5.35,-16.7,19.5,-23,-24.6,-17.7,"Grasslands:  Temperate","Grasslands:  Tropical"
"Massachusetts","easowl1","Eastern Screech-Owl","Megascops asio","2012-2022","year_round",-19.4,-47.7,3.16,-4.28,-29.6,13.1,"Forests:  Temperate Eastern",NA
"Massachusetts","easpho","Eastern Phoebe","Sayornis phoebe","2012-2022","breeding",-5.63,-10,-2.92,-12.8,-16.5,-11.3,"Open Country:  Habitat Mosaic","Forests:  Temperate Eastern"
"Massachusetts","eastow","Eastern Towhee","Pipilo erythrophthalmus","2012-2022","breeding",-23.3,-30.4,-15.9,-15.1,-17.7,-12.5,"Forests:  Temperate Eastern",NA
"Massachusetts","easwpw1","Eastern Whip-poor-will","Antrostomus vociferus","2012-2022","breeding",-25.4,-41.8,-18.3,-15.4,-21.1,-11.1,"Forests:  Temperate Eastern",NA
"Massachusetts","eawpew","Eastern Wood-Pewee","Contopus virens","2012-2022","breeding",4.18,0.0802,10.4,17.9,16.2,20.3,"Forests:  Temperate Eastern",NA
"Massachusetts","eursta","European Starling","Sturnus vulgaris","2012-2022","breeding",-12.6,-19,-5.66,-14.9,-17.5,-12.8,"Open Country:  Developed/Disturbed",NA
"Massachusetts","evegro","Evening Grosbeak","Coccothraustes vespertinus","2012-2022","breeding",-39.8,-53.3,-32,5.24,-4.03,9.63,"Forests:  Boreal","Forests:  Temperate Western"
"Massachusetts","fiespa","Field Sparrow","Spizella pusilla","2012-2022","breeding",-0.91,-17.7,10.4,-9.85,-11.9,-2.65,"Open Country:  Habitat Mosaic","Forests:  Temperate Eastern"
"Massachusetts","fiscro","Fish Crow","Corvus ossifragus","2012-2022","breeding",114,65.7,135,12.2,7.91,15.6,"Open Country:  Habitat Mosaic","Wetlands:  Generalist"
"Massachusetts","forter","Forster's Tern","Sterna forsteri","2012-2022","breeding",-29.2,-42.3,-9.16,-16.5,-21.8,-11.5,"Wetlands:  Freshwater Marsh",NA
"Massachusetts","foxspa","Fox Sparrow","Passerella iliaca","2012-2022","nonbreeding",-12,-22.3,0.068,-18.4,-22.9,-13.5,"Forests:  Boreal","Forests:  Temperate Western"
"Massachusetts","gadwal","Gadwall","Mareca strepera","2012-2022","breeding",2.31,-18.6,29.3,21.2,15.8,27.7,"Wetlands:  Seasonally Wet Grasslands","Wetlands:  Freshwater Marsh"
"Massachusetts","gbbgul","Great Black-backed Gull","Larus marinus","2012-2022","breeding",-23.6,-29.5,-18.5,-36.6,-40.3,-34.7,"Coasts:  Beach and Estuary","Wetlands:  Lakes and Rivers"
"Massachusetts","gloibi","Glossy Ibis","Plegadis falcinellus","2012-2022","breeding",-27.3,-45.1,-6.07,21.1,14.3,31.4,"Coasts:  Saltmarsh","Wetlands:  Freshwater Marsh"
"Massachusetts","gnwtea","Green-winged Teal","Anas crecca","2012-2022","nonbreeding",-17.7,-30.6,-11.4,-15.5,-20.7,-9.38,"Wetlands:  Generalist",NA
"Massachusetts","gockin","Golden-crowned Kinglet","Regulus satrapa","2012-2022","breeding",-26,-37.1,-21.1,-21.5,-25.6,-18,"Forests:  Boreal","Forests:  Temperate Western"
"Massachusetts","graspa","Grasshopper Sparrow","Ammodramus savannarum","2012-2022","breeding",-9.66,-33.1,3.4,-15.6,-17.8,-11.2,"Grasslands:  Temperate",NA
"Massachusetts","grbher3","Great Blue Heron","Ardea herodias","2012-2022","breeding",-8.39,-16.5,0.114,-10.8,-14.1,-8.23,"Wetlands:  Generalist","Coasts:  Saltmarsh"
"Massachusetts","grcfly","Great Crested Flycatcher","Myiarchus crinitus","2012-2022","breeding",7.48,-6.3,22.3,13.4,8.14,16.7,"Forests:  Temperate Eastern",NA
"Massachusetts","grecor","Great Cormorant","Phalacrocorax carbo","2012-2022","nonbreeding",-42.6,-49.1,-35.5,-36.2,-41.6,-31.8,"Coasts:  Cliffs and Islands","Coasts:  Marine Waters"
"Massachusetts","greegr","Great Egret","Ardea alba","2012-2022","breeding",-6.23,-15.5,0.739,-14.6,-19.1,-11.1,"Wetlands:  Generalist","Coasts:  Saltmarsh"
"Massachusetts","gresca","Greater Scaup","Aythya marila","2012-2022","nonbreeding",-24.1,-31.6,-13.6,-14.4,-21.1,-7.61,"Wetlands:  Tundra",NA
"Massachusetts","greyel","Greater Yellowlegs","Tringa melanoleuca","2012-2022","breeding",1.15,-22.6,14.5,28.6,17,38.4,"Wetlands:  Boreal",NA
"Massachusetts","grhowl","Great Horned Owl","Bubo virginianus","2012-2022","year_round",19,-31.8,51,-1,-6.32,16.6,"Open Country:  Habitat Mosaic",NA
"Massachusetts","grnher","Green Heron","Butorides virescens","2012-2022","breeding",-24.2,-32,-10,-8.21,-11.4,-3.63,"Wetlands:  Freshwater Marsh",NA
"Massachusetts","grycat","Gray Catbird","Dumetella carolinensis","2012-2022","breeding",-4.21,-7.15,-1.12,5.78,2.91,8.86,"Forests:  Temperate Eastern","Forests:  Temperate Western"
"Massachusetts","gwfgoo","Greater White-fronted Goose","Anser albifrons","2012-2022","nonbreeding",9.2,-0.774,27.7,15.3,7.73,25.2,"Wetlands:  Tundra",NA
"Massachusetts","haiwoo","Hairy Woodpecker","Dryobates villosus","2012-2022","year_round",6.07,0.678,10.4,13.9,8.95,21.5,"Forests:  Generalist",NA
"Massachusetts","harduc","Harlequin Duck","Histrionicus histrionicus","2012-2022","nonbreeding",-9.27,-21.9,20.9,-8.39,-15.4,-1.11,"Wetlands:  Lakes and Rivers","Coasts:  Beach and Estuary"
"Massachusetts","hergul","Herring Gull","Larus argentatus","2012-2022","nonbreeding",-30.2,-33.8,-28,-23.7,-28.7,-19.5,"Coasts:  Beach and Estuary","Wetlands:  Lakes and Rivers"
"Massachusetts","herthr","Hermit Thrush","Catharus guttatus","2012-2022","breeding",-16.3,-22.2,-13.3,-23.6,-26,-18.9,"Forests:  Temperate Generalist",NA
"Massachusetts","hoomer","Hooded Merganser","Lophodytes cucullatus","2012-2022","nonbreeding",-19.2,-28.4,-10.9,-9.29,-12.1,-6.8,"Wetlands:  Forested","Wetlands:  Lakes and Rivers"
"Massachusetts","hoowar","Hooded Warbler","Setophaga citrina","2012-2022","breeding",-19,-21.7,-10.8,10.8,6.73,14.6,"Forests:  Temperate Eastern",NA
"Massachusetts","horgre","Horned Grebe","Podiceps auritus","2012-2022","nonbreeding",-57.6,-61.4,-50.9,-30.2,-35.5,-16.6,"Wetlands:  Freshwater Marsh",NA
"Massachusetts","horlar","Horned Lark","Eremophila alpestris","2012-2022","breeding",4.3,-37.1,27.7,-14.2,-17.6,-6.84,"Grasslands:  Temperate","Tundra:  Arctic"
"Massachusetts","houfin","House Finch","Haemorhous mexicanus","2012-2022","year_round",24.4,15.6,36.1,0.462,-3.98,4.55,"Open Country:  Habitat Mosaic","Aridlands:  Desert Scrub"
"Massachusetts","houspa","House Sparrow","Passer domesticus","2012-2022","year_round",-11.2,-17.6,-2.66,10.9,5.62,17.1,"Open Country:  Developed/Disturbed",NA
"Massachusetts","houwre","House Wren","Troglodytes aedon","2012-2022","breeding",31.6,17.5,45.2,3.02,0.929,5.57,"Forests:  Generalist","Open Country:  Developed/Disturbed"
"Massachusetts","indbun","Indigo Bunting","Passerina cyanea","2012-2022","breeding",-16.8,-22.5,-10.8,-8.57,-10.6,-6.68,"Forests:  Temperate Eastern",NA
"Massachusetts","killde","Killdeer","Charadrius vociferus","2012-2022","breeding",-15,-23.5,-5.67,-15.7,-20.1,-12,"Open Country:  Habitat Mosaic","Wetlands:  Generalist"
"Massachusetts","kinrai4","King Rail","Rallus elegans","2012-2022","breeding",14.7,-11.2,72.1,15.2,7.72,25.4,"Wetlands:  Freshwater Marsh",NA
"Massachusetts","laplon","Lapland Longspur","Calcarius lapponicus","2012-2022","nonbreeding",-20,-23,-13.7,3.57,-10.6,14,"Tundra:  Arctic",NA
"Massachusetts","laugul","Laughing Gull","Leucophaeus atricilla","2012-2022","breeding",-22.2,-31.5,-11.2,-21.8,-27.5,-17.5,"Coasts:  Beach and Estuary","Coasts:  Marine Waters"
"Massachusetts","lbbgul","Lesser Black-backed Gull","Larus fuscus","2012-2022","nonbreeding",2.57,-11.5,15.2,38.7,30.2,50.4,"Coasts:  Beach and Estuary","Coasts:  Marine Waters"
"Massachusetts","leabit","Least Bittern","Ixobrychus exilis","2012-2022","breeding",67.2,28.3,85.6,-3.95,-8.56,2.82,"Wetlands:  Freshwater Marsh",NA
